,layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
10,48,query_projection,0.13165117931582515,512,512,1.0,4.823660845332409,0.5616858646493913,0.9202676585634373,True,1.3075066205386834,dense,1.939829452805449,2.2317506031529737,0.11644389658798335,encoder.attn_layers.1.attention.query_projection,512,170.5102939715054,512,79,0,1,0.43019545543280663,1.3075066205386834,130.40874232916417,success,1.1434625575587,0.0011058927839645975,,0,1.3075066205386834,0.7230865125155548
11,49,key_projection,0.13693851024252168,512,512,1.0,9.15383468231509,1.1173523723762326,0.9197929509736433,True,1.3245362771967826,dense,2.114468566673668,2.2321313642176546,0.12206385751480973,encoder.attn_layers.1.attention.key_projection,512,170.65985182342627,512,34,0,1,1.3983711115029558,1.3245362771967826,128.84498126741138,success,1.1508849973810513,0.0009716528785037332,under-trained,1,1.3245362771967826,0.977483451138064
12,50,value_projection,0.12480562982963972,512,512,1.0,20.70521933238779,2.339458053566409,0.919711633369398,True,1.2971458426770492,dense,3.010126850163706,2.2316041646410216,0.11298880808796607,encoder.attn_layers.1.attention.value_projection,512,170.4528097860594,512,12,0,1,5.688406842997355,1.2971458426770492,131.4060487094334,success,1.1389231065691174,0.00032118766377996704,under-trained,1,1.2971458426770492,1.1550435563690666
13,51,out_projection,0.12317171275494465,512,512,1.0,7.912449237052919,0.9196410293865633,0.9201024024990508,True,1.3068540860574573,dense,2.037600700245019,2.232409022946672,0.11622710008425836,encoder.attn_layers.1.attention.out_projection,512,170.7689951586795,512,43,0,1,1.054138626147274,1.3068540860574573,130.67181484189922,success,1.1431771892657137,0.0008326456842026947,under-trained,1,1.3068540860574573,0.9244312404840034
14,70,query_projection,0.13318253134003505,512,512,1.0,10.730343596576336,1.2579930041506848,0.9201436074254936,True,1.3098964741568733,dense,2.185484522097873,2.2329567984820686,0.11723697315266444,decoder.layers.0.self_attention.query_projection,512,170.98452194843767,512,29,0,1,1.806879444745154,1.3098964741568733,130.5328515053019,success,1.1445070878578574,0.0003873301709849808,under-trained,2,1.3098964741568733,1.0148869815469437
15,71,key_projection,0.13381833664946863,512,512,1.0,6.871173708680821,0.7963097376502203,0.9197527755235799,True,1.3058442180330097,dense,2.000560750309003,2.232042144915475,0.11589137044289653,decoder.layers.0.self_attention.key_projection,512,170.62479591173832,512,49,0,1,0.8387391012401173,1.3058442180330097,130.66244315784473,success,1.142735410334785,0.00024116238739129535,under-trained,1,1.3058442180330097,0.8832738492666858
16,72,value_projection,0.12668946592931773,512,512,1.0,15.055657090869072,1.7383103337648111,0.9201556674026542,True,1.3045446507036995,dense,2.5472798832470605,2.232164328545997,0.11545894830582044,decoder.layers.0.self_attention.value_projection,512,170.67280593897232,512,17,0,1,3.408997577830296,1.3045446507036995,130.82940920949522,success,1.142166647518522,4.851573986298e-05,under-trained,1,1.3045446507036995,1.1061155847509099
17,73,out_projection,0.13066560096016247,512,512,1.0,16.216205945169285,2.0105395897888796,0.9198371432983095,True,1.3304034218407002,dense,2.6424666009916997,2.2304300446434593,0.12398335323237601,decoder.layers.0.self_attention.out_projection,512,169.99261106159025,512,17,0,1,3.6904720195931984,1.3304034218407002,127.77523589528532,success,1.1534311517557951,0.0002922259859500506,under-trained,1,1.3304034218407002,1.1136023948870502
18,77,query_projection,0.12187700546104063,512,512,1.0,6.309134057802857,0.7518398577916072,0.9195075152898532,True,1.3157303291322746,dense,1.9769931371633545,2.2316408454485304,0.11916688580452099,decoder.layers.0.cross_attention.query_projection,512,170.46720695436747,512,57,0,1,0.7032119847555919,1.3157303291322746,129.56090102961352,success,1.1470528885505997,0.00017636734816336516,under-trained,1,1.3157303291322746,0.8416580867207631
19,78,key_projection,0.12808407257205046,512,512,1.0,6.31058308777989,0.716938053540523,0.9198317171290368,True,1.2989990834096563,dense,1.9753147200901464,2.2324951383896345,0.11360884462940288,decoder.layers.0.cross_attention.key_projection,512,170.80285998167196,512,59,0,1,0.6913790288712449,1.2989990834096563,131.48805273468162,success,1.139736409618319,0.00023378925680656837,under-trained,1,1.2989990834096563,0.8379819994771848
